top - 09:54:55 up 44 days, 27 min,  1 user,  load average: 1.24, 1.02, 0.88
Tasks: 382 total,   1 running, 304 sleeping,   0 stopped,   0 zombie
%Cpu(s): 13.4 us,  5.7 sy,  0.1 ni, 79.6 id,  0.0 wa,  0.0 hi,  1.2 si,  0.0 st
KiB Mem : 16251892 total,   556224 free,  6461480 used,  9234188 buff/cache
KiB Swap:  2097148 total,  1555884 free,   541264 used.  8962312 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 1895 gdm       20   0  371116      0      0 S   0.0  0.0   0:00.00 /usr/lib/gnome-settings-daemon/gsd-smartcard
 1904 gdm       20   0  325912    188    188 S   0.0  0.0   0:00.01 /usr/lib/gnome-settings-daemon/gsd-sound
 1907 gdm       20   0  791620   7928   4256 S   0.0  0.0   0:00.21 /usr/lib/gnome-settings-daemon/gsd-wacom
 1920 gdm       20   0  197784    424    424 S   0.0  0.0   0:00.03 /usr/lib/ibus/ibus-engine-simple
 1982 colord    20   0  317924   4848   3912 S   0.0  0.0   0:00.27 /usr/lib/colord/colord
 2082 root      20   0  408496   5132   3820 S   0.0  0.0   0:00.21 gdm-session-worker [pam/gdm-password]
 2285 whoopsie  20   0  539800   9672   4532 S   0.0  0.1   0:09.30 /usr/bin/whoopsie -f
 2299 kernoops  20   0   56944    424    424 S   0.0  0.0   1:35.21 /usr/sbin/kerneloops --test
 2309 kernoops  20   0   56944    464    416 S   0.0  0.0   1:35.31 /usr/sbin/kerneloops
 2376 andrew    20   0 16.697g  70184  59600 S   0.0  0.4   0:35.33 /opt/google/chrome/chrome --type=utility --utility-sub-type=audio.mojom.AudioService --field-trial-handle=9356682892816427284,13652163+
 2397 root      20   0    4512      0      0 S   0.0  0.0   0:00.03 bpfilter_umh
 2439 root      20   0   36552   3724   3364 S   0.0  0.0   0:00.01 /usr/lib/bluetooth/bluetoothd
 2740 andrew    20   0   77268   5232   3952 S   0.0  0.0   0:03.07 /lib/systemd/systemd --user
 2741 andrew    20   0  114192    276      0 S   0.0  0.0   0:00.00 (sd-pam)
 2754 andrew    20   0  576480   6256   4984 S   0.0  0.0   0:04.00 /usr/bin/gnome-keyring-daemon --daemonize --login
 2758 andrew    20   0  205028   2128   1852 S   0.0  0.0   0:00.02 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
 2778 andrew    20   0   51504   4440   2484 S   0.0  0.0   0:25.98 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
 2882 andrew    20   0   11312     40      0 S   0.0  0.0   0:09.88 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
 2888 andrew    20   0  349484    632    452 S   0.0  0.0   0:00.01 /usr/lib/at-spi2-core/at-spi-bus-launcher
 2893 andrew    20   0   50188   2108   1684 S   0.0  0.0   0:07.40 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
 2895 andrew    20   0  220792   1868   1532 S   0.0  0.0   0:44.17 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 2926 andrew    20   0  284988   1024    444 S   0.0  0.0   0:00.16 /usr/lib/gvfs/gvfsd
 2931 andrew    20   0  416116      0      0 S   0.0  0.0   0:00.00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
 2941 andrew     9 -11 2394152  12408   9632 S   0.0  0.1  34:30.99 /usr/bin/pulseaudio --daemonize=no
 2959 root      10 -10       0      0      0 S   0.0  0.0   0:00.00 [krfcommd]
 2965 andrew    20   0  273676   1068    420 S   0.0  0.0   0:00.01 /usr/lib/ibus/ibus-dconf
